"","G","R","total_cost","gamma2","bias","mse","coverage"
"2380",6,162,9960,2.5,-0.107284373153036,1.95927637600368,0.75
"2381",7,138,9940,2.5,0.29828254576911,2.08722897617462,0.78
"2382",8,121,10000,2.5,0.185307690592862,0.873697995669644,0.89
"2383",9,107,9990,2.5,-0.0496316905937284,0.978147752300172,0.89
"2384",10,96,10000,2.5,0.0410284061127278,0.960638985705285,0.87
"2385",11,86,9900,2.5,0.0686276685432265,1.07844776784675,0.93
"2386",12,79,9960,2.5,0.120863943037572,1.13704000820783,0.89
"2387",13,72,9880,2.5,0.0702687951383195,0.840023564693404,0.9
"2388",14,67,9940,2.5,-0.00363966803335636,0.913935617242858,0.87
"2389",15,62,9900,2.5,0.0106762497444149,0.604921996528372,0.92
"2390",16,58,9920,2.5,-0.0291239816959786,0.809381946532374,0.85
"2391",17,54,9860,2.5,0.12541804688403,0.68179663541314,0.9
"2392",18,51,9900,2.5,0.014971685673781,0.72268039414998,0.88
"2393",19,48,9880,2.5,-0.103151755182299,0.681959641875699,0.9
"2394",20,46,10000,2.5,0.0268579074921974,0.49102006609516,0.91
"2395",21,43,9870,2.5,0.0203540277222548,0.427696148681858,0.94
"2396",22,41,9900,2.5,-0.121581135867171,0.519757500130748,0.92
"2397",23,39,9890,2.5,0.111324842326184,0.603469341357151,0.88
"2398",24,37,9840,2.5,0.012815404538189,0.514922492230592,0.94
"2399",25,36,10000,2.5,-0.118701327064608,0.364069720600258,0.95
"2400",26,34,9880,2.5,-0.0264878782769284,0.486025685831664,0.86
"2401",27,33,9990,2.5,0.0042809427150603,0.353990988349642,0.96
"2402",28,31,9800,2.5,0.0779757377939253,0.451754023742793,0.9
"2403",29,30,9860,2.5,0.030561829893241,0.353312925019678,0.95
"2404",30,29,9900,2.5,0.0448048778774622,0.303314460644336,0.95
"2405",31,28,9920,2.5,0.0174029164973973,0.274129464912588,0.95
"2406",32,27,9920,2.5,0.0923803747874945,0.370103160660561,0.92
"2407",33,26,9900,2.5,-0.0115959175358625,0.275393579910101,0.95
"2408",34,25,9860,2.5,0.0110886057061722,0.25341718501771,0.95
"2409",35,24,9800,2.5,-0.0201614576810792,0.295407445024976,0.96
"2410",36,23,9720,2.5,-0.0564948087842974,0.284533949251014,0.96
"2411",37,23,9990,2.5,0.0441251828097914,0.392090614708201,0.87
"2412",38,22,9880,2.5,-0.0151376025888005,0.295678501251567,0.91
"2413",39,21,9750,2.5,0.150076265843867,0.312129575931743,0.9
"2414",40,21,10000,2.5,-0.0616972827608111,0.351573514135834,0.87
"2415",41,20,9840,2.5,-0.00913642457041197,0.217544001170647,0.95
"2416",42,19,9660,2.5,-0.0360772043894397,0.220494446194102,0.97
"2417",43,19,9890,2.5,0.0166199884970909,0.239341194972797,0.96
"2418",44,18,9680,2.5,0.00420298572291111,0.177954575213184,0.98
"2419",45,18,9900,2.5,-0.041526793412218,0.21270941063327,0.96
"2420",46,17,9660,2.5,-0.000117040622218956,0.202444044227229,0.94
