"","G","R","total_cost","gamma2","bias","mse","coverage"
"53",55,14,9900,0.1,-0.0025784247143118,0.00764769812907729,0.96
"54",56,13,9520,0.1,0.0100440387797981,0.00850928728198122,0.9
"55",57,13,9690,0.1,0.0074134453622241,0.00782231903105947,0.93
"56",58,13,9860,0.1,-0.0165523392768809,0.00880647560361286,0.95
"57",59,12,9440,0.1,0.0014843933193458,0.00937987687997275,0.9
"58",60,12,9600,0.1,-0.00430542291917424,0.00759209983442033,0.93
"59",61,12,9760,0.1,0.0128804355366091,0.00933228439013378,0.9
"60",62,12,9920,0.1,0.00468446610186901,0.00743805443439307,0.95
"61",63,11,9450,0.1,0.0047521836560438,0.00765094708438383,0.9
"62",64,11,9600,0.1,0.00771939525429743,0.0063838643046202,0.94
"63",65,11,9750,0.1,0.00626468101765199,0.00721843910377622,0.93
"64",66,11,9900,0.1,-0.00250844764231384,0.00739210407655598,0.9
"65",67,10,9380,0.1,-0.00608758489911915,0.00597774213209937,0.95
"66",68,10,9520,0.1,-0.00980695225236417,0.00567549358586417,0.97
"67",69,10,9660,0.1,0.00522269172567713,0.00477423030640857,0.99
"68",70,10,9800,0.1,-0.00760251388143013,0.0058896597085445,0.94
"69",71,10,9940,0.1,-0.00959373981642558,0.0052471761523344,0.99
"70",72,9,9360,0.1,-0.00236852658556108,0.00481229154370353,0.96
"71",73,9,9490,0.1,0.00392532394946921,0.00615023041176537,0.96
"72",74,9,9620,0.1,-0.00231958979241437,0.00679976062098757,0.92
"73",75,9,9750,0.1,-0.00394959262711958,0.0053356197625714,0.97
"74",76,9,9880,0.1,-0.00697082448926711,0.00582155123273371,0.97
"75",77,8,9240,0.1,-0.0139288305768138,0.00580862078196682,0.94
"76",78,8,9360,0.1,-0.00346758993757917,0.00497363702732636,0.94
"77",79,8,9480,0.1,-0.000989382656730042,0.00439299997885191,0.98
"78",80,8,9600,0.1,-0.00991170524380219,0.00511464218833556,0.91
"79",81,8,9720,0.1,0.00333169469326899,0.00569533750076405,0.93
"80",82,8,9840,0.1,-0.00248271172313891,0.00476818104484012,0.97
"81",83,8,9960,0.1,0.00494052963268321,0.00494010133918645,0.95
